Timestamp,Solid Level (cm),Liquid Level (cm),Temperature (°C),Humidity (%)
2025-02-04 06:42:15,4.66,1199.84,28.5,61.0
2025-02-04 06:42:20,4.66,1199.71,28.5,61.0
2025-02-04 06:42:25,4.66,1199.88,28.5,61.0
2025-02-04 06:42:31,4.66,1199.84,28.5,61.0
2025-02-04 06:42:36,5.08,1199.72,28.5,61.0
2025-02-04 06:42:41,5.08,1199.84,28.5,61.0
2025-02-04 06:42:46,5.07,1199.62,28.5,61.0
2025-02-04 06:42:51,5.08,1199.93,28.5,61.0
2025-02-04 06:42:56,5.08,1199.98,28.5,61.0
2025-02-04 06:43:02,4.66,1199.78,28.5,61.0
2025-02-04 06:43:07,7.28,20.43,28.5,61.0
2025-02-04 06:43:13,6.37,1199.81,28.5,61.0
2025-02-04 06:43:18,8.11,1199.81,28.5,61.0
2025-02-04 06:43:23,412.74,20.74,28.5,61.0
2025-02-04 06:43:28,6.85,22.76,28.5,61.0
2025-02-04 06:43:33,9.3,1199.83,28.5,61.0
2025-02-04 06:43:38,13.82,21.69,28.5,61.0
2025-02-04 06:43:44,415.29,1200.0,28.5,61.0
2025-02-04 06:43:49,16.25,1199.84,28.5,61.0
